"audience-reviews__name","audience-reviews__duration","audience-reviews__review"
"Suhail A","Oct 1, 2025","Was a pretty mid comic book movie for DC's standards but an alright watch. James Gunn has some work to do if he wants his universe to stand peer to peer with Marvel's Infinity saga which was much better crafted. The best DC universe ever created imo is still the animated DCAMU from Flashpoint till the Apokolips War movie."
"Anthony R.","Oct 1, 2025","Loved the comic book style my favorite character was Mr. terrific"
"Edward W","Oct 1, 2025","(Spoilers)
I am so sad. I was really looking forward to the James Gunn reboot but my hopes have been dashed. How this movie gets a rating of over 80% is proof that there are class A drugs in the water system. 

Corenswet does a good job of Superman. Brosnahan is a plausible Lois Lane. With a different script, they could have been iconic. I'd say the movie has plot holes but the entire movie is a plot hole with a bit of dialog.

Superman is simultaneously the most powerful metahuman ever seen but gets beaten up by B graders every 15 minutes. He needs rescuing more often than Lois Lane in the George Reeves series.

He's supposed to have super-speed but Lex Luthor can dictate fighting moves to beat him up in real time. Speaking of Lex, he is simultaneously the smartest and dumbest person on the planet. His motives and strategies are utterly incomprehensible. Lex should be clever and manipulative not clinically delusional.

To top it all, Jor El and Lara sent him to Earth to be a despot and mass 'struggle-cuddler'.

This movie should carry a government health warning. You will come out dumber than when you went in."
"Delphine S","Oct 1, 2025","I absolutely loved this movie—it’s fun, full of hope, and brings back the kind of Superman I’ve always wanted to see. This version of Clark is approachable, good-hearted, and even a little geeky in the best way, which makes him so relatable. It’s a true feel-good film, with an amazing cast and music."
"Friendly R","Oct 1, 2025","A weird take on Superman.  He yells and screams at Lois during an argument and comes across as immature and inept.  Lois is unappealing in every way.  Lots of meta-humans clog up the story and are boring in their own right.  Thank goodness for the dog."
"reaper h","Oct 1, 2025","The worst movie ever made James Gunn should stick his head in a hole. the only good acting in the whole movie was from a dog."
"Lord C","Oct 1, 2025","The only good things about the movie are Louis Lane and Lex Luthor, the rest is a mess. There are several errors where his film is definitely not and cannot be considered part of the main DC universe.. Unnecessary screen long time like the opening part of Mr. Incredible's garage,"
"Mike and Cindy D","Oct 1, 2025","Pick your poison.  The movie seems like it’s set up for old-time Superman with kid friendly characters and dialogue although includes significant gratuitous violence that doesn’t add to the story.  The Green Lantern using his power to give the finger to the enemy.  Missed the mark on this one."
"brandon b","Oct 1, 2025","Not only the worst Superman has ever seen but maybe the worst movie I've ever seen."
"Evelyn A","Oct 1, 2025","Just. No. Unless you like wasting time. It's sad what they've done to the Superman franchise. Who, at the end of this film, said, ""job well done!"" They should not be allowed to make films."
