"audience-reviews__name","audience-reviews__duration","audience-reviews__review"
"Joshua Cabanillas","Sep 27, 2025","I thought it was pretty fine. I appreciate what it does as the cinematic genesis for this new Gods and Monsters DCU, but it definitely could've been way better. If they took time to flesh out more shots, color grading, music, etc. I mean it literally was rushed production wise because it was announced less than 2 yrs ago. Despite this the actors do a stupendous job. Mr Terrific in particular was so good.
He felt capable and almost robotic in a cool way which fits his character. Nathan Fillion as Guy was like he was playing a different person altogether from his usual roles. I will say I wish we got closure on the tension between him and Superman. I didn't like how Guy called him a wuss for caring about saving lives but then the movie doesn't pay that off. At least in Black Adam, (which this movie is very similar to), Hawkman and Adam got to square off their differences. I gotta say without Krypto this movie would be even worse. Most of the heart and soul is poured into the dog. Not that that's a bad thing but l'm not a fan of movies relying on the cute character in favor of character. Wasn't a fan of Baby Groot or Grogu much. I hope we see Streaky down the line, but SPOILERS mean we won't? Lex, Lois, and Kal were great. The actors were good as their characters. Not out of this world or anything, but just fine. Nicholas Hoult's take on Lex will win those who didn't like Jessie's take for sure. This just felt like a pilot of a show. I mean, even Smallville had a better pilot.
Also the character at the end telt like it could've been handled better. The villain reveal I mean. Feels like a lot of what happens in this movie is just to save it for later.
The MCU did this as well but at least they put the work in for each movie so that you can enjoy it as a whole experience and not a piece of a slice of a pie."
"David C.","Sep 27, 2025","Definitely a different brush stroke from the previous Superman. Unfortunately, I felt no real connection with any of the characters."
"Esau U","Sep 27, 2025","Me encantó la historia, los personajes y sobre todo un mejor lex luttor con la inteligencia y recursos para destruir a superman. Apegado más a los comics. Muy buena pelicula."
"Patricia C","Sep 27, 2025","Good for fun, no agenda, good actions scene."
"MJ P","Sep 27, 2025","The underlying message is a great message."
"Maicol B","Sep 27, 2025","es todo lo que superman alguna vez fue, la promesa incumplida, el cariño de un fan hecho cine, es cine señores"
"Yorel C","Sep 27, 2025","Thought the movie wanted to lean too heavy on a colorful Superman. The actor did a great job but overall...Superman lacked strenght/weight in using his powers. A lot ot shots looked weird, for instance, the close up shots when Superman is flying or when Hawkgirl got her close ups. 
They tried to hard to make the character a good guy. Krypto was the most annoying character in the movie and the Superman vs Lex storyline has been told far too many times. The only recent Superman vs Lex storyline that was interesting was in Superman & Lois. 
A for effort but execution was lacking."
"Sean G","Sep 27, 2025","Superman (2025) was honestly better than I expected and it was full of action shocking moments and some emotional scenes but the villains in this movie such as lex Luther will make your blood boil out of anger because of how cruel and out of control he is and him being the biggest Superman hater as well but overall glad the hero wins in the end because Superman truly is a hero symbol and he'll always be there to save the day and inspire kids to be like him too 👏 10/10"
"Jasmin A","Sep 27, 2025","I am seriously astounded that this is rated 83% this is easily one of the worst movies I have seen in the past 5 years. There is no plot, the movie starts in the middle of nowhere, there is 0 character development, it is all over the place, the graphics are trash and it is as if a 5 year old wrote the script. I am incredibly disappointed to have wasted even 1 hour watching that crap. 0/10"
"Addison J","Sep 27, 2025","What a pathetic challenge to the ethos of Superman movies. This version aims to mock, deconstruct and attack our culture. Alienating people through art has always made me question the intention. I get the mission here but poor execution. The allegories could be great if it was a different director and screenplay. This is such a weak attempt at rewriting Superman. Could've been so much better."
"Movie M","Sep 27, 2025","Really great movie. Loved the balance of action and comedy. The only unrealistic scene was when the “Boravia” army didn’t slaughter every innocent child, woman and man when they had the chance."
"Mayuresh S","Sep 27, 2025","Fantastic movie! Absolutely loved the style, theme and sequences. It was so fresh, emotional and fun. James Gunn nailed it!"
"Cristian s","Sep 27, 2025","No puedo ser imparcial cuando se trata de Superman así que obviamente me encanto. Ambientación perfecta y comiquera, llena de guiños que se notan fueron hechos con cariño. La esencia del personaje protagonista y lo que representa se transmite tal cual debería ser. Probablemente este sea el Lex Luthor mejor representado hasta ahora en el cine. Me encantaron los casting de todos los personajes del Daily Planet y de los Kent porque parecen salidos directamente de My Adventures With Superman. Si tengo que decir algo malo es que la historia es medio floja y en todo momento parece estar orientada hacia un publico infantil (pero eso tampoco tiene porque ser malo). Cumple, la disfrute y me genera esperanza con lo que puede surgir de acá en adelante."
"Shawn G","Sep 27, 2025","This movie is a giant steaming pile of crap."
"janby51 B","Sep 27, 2025","Bad acting, bad storyline, vulgar language & gestures, a true waste of time."
"Dawn A.","Sep 27, 2025","Not my favorite adaptation but I enjoyed it."
"William A","Sep 27, 2025","I am watching this movie for the first time and I can't believe how awful it is compared to Justice League, Batman vs Superman, Man of Steel- these were so mich better than this...when did Green Lantern look like a guy that just came out of a bar after a 24 hour bender? This Superman movie portrays him like such a super weakling (im being nice, I wanted to say p*ssy)- For trying ti do a massive reboot and change, they should have animated it and made it Rated G...."
"Todd W","Sep 27, 2025","Felt like it was was aimed at grade 3 through 6 kids. Humor and plot was TV after school special with slightly better special effects?  Very disappointing."
"Daron  S","Sep 27, 2025","These critics must get paid to write nice things. This is one of the worst super hero movies in modern time. The entire movie is hokey and comical but never funny. The director made Superman weak, insecure and on top of that he turned his parents into ignorant hicks. Please don’t  waste your money."
"Izzy H","Sep 27, 2025","I thought this was supposed to be Superman’s comeback? Just found it so boring, took forever to end."
"A P","Sep 26, 2025","Filme HORRÍVEL 😕 
Sem graça, sem carisma, enredo forçado e patético"
"Jason C","Sep 26, 2025","Sorry, couldn't recommend it. Superman reinvented over and over, same as Batman."
"Jesse R","Sep 26, 2025","I cannot understand the positive reviews on this movie.

The plot was absurd and yet also so expected. There were too many quirky super hero characters. I wouldn't at all be surprised if the story concept was AI generated – nothing was unique or interesting, and it felt like uncreative audience pandering. 

I know many are upset at the movie for political reasons – I couldn't care about the political implications, I just thought it was worthless schlock."
"Garry A","Sep 26, 2025","I didn't care for the first half.  The second half was better, but not enough to redeem the movie for me.  Superman was over the top on saving everybody.  I thought he jumped the shark when he saved the squirrel.  He also came across as arrogant to me, especially in the beginning.  Mister terrific was my favorite character."
"Micky S","Sep 26, 2025","This movie is the stupidest superman movie i have ever seen. Literally turned it off after half an hour. Corniest crap ever. It is like a kids cartoon"
"Darth K","Sep 26, 2025","I don't know what movie everyone else was watching but I just thought this was so cheeseball.  Actually liked all the actors just fine in their roles.  And there were a few times the writing/jokes had me chuckle.  I think if Krypto and everything that had to do with him was cut out of the movie, it might improve my score by a full star."
"Dennis B","Sep 26, 2025","James Gunn no lo puede hacer todo bien. La película parece un monologo de un artista amateur, utilizando el ensayo y error, con el gran inconveniente de que ni un solo chiste entra. Es una montaña de emociones intentando ser una peli adulta en algunos momentos para acto seguido darte diálogos acorde a una pelicula dirigida a niños de 5 años. Los efectos especiales estan muy cuidados dando un claro ejemplo de como se puede hacer buen CGI sin que la escena sea nocturna. Como nuevo lienzo en blanco es un brochazo al aire, pero con el tiempo es posible que vaya cogiendo forma."
"Will F.","Sep 26, 2025","Was not sure what it wanted to be. Comedy, Political, Action? A soft Superman… no thanks. The dog backstory was more interesting."
"Carmen Adriana G","Sep 26, 2025","Fue una buena pelicula pero no la mejor del director como digo vale la pena verlo tiene personajes para nada olvidables la mejor lois que he visto y un superman que lucha por cosas que nos pasan a diario"
"Mark B","Sep 26, 2025","I thought it was awful. It was Shazam! (Which I enjoyed BTW) not Superman. It was dreadful, please bring back the old superhero comic characters not these flimsy ones. One superhero per Earth please. I thought Nicholas Hoult was the only Genuine Superhero in the film and he played Lex Luther beautifully."
"Levi A","Sep 26, 2025","James Gunn's obsession with trying turn to everything into GoTG is really getting on my nerve not just that he even copies sequences and ideas from his own movies shamelessly. This movie might just as well as be Black Adams 2 with how messy it is, It is just a compilation of scenes Gunn thought looked cool and put them together. As an animal lover myself I can't believe he even managed to make Krypto annoying too in this movie and let's not talk about the plot because there is none and the whole fake trend that this movie is about ""Hope"" was a lie everything about this movie was hopeless, Warner Bro will pay dearly for letting Gunn handle DCU it will eventually face the same fate as DCEU, goodbye."
"Joey M","Sep 26, 2025","The movie was interesting and not completely terrible. I’m glad I did not go to the theatre to watch it. However it’s a “if nothing else is on” I’ll watch it."
"Simon T","Sep 26, 2025","Oh my. For many years I stopped re-watching Mr Reeves Superman because of the very sad accident that happened to him. As with many people, the strength and determination he showed in his life was especially poignant given the iconic role he had played in the movie. When, a year or so I went back to the movie I could reflect on how brilliant was the movie and how brilliant Mr Reeves was in it. this is a movie that will be watched for generations to come.
I understand the challenge that the new movie faced. It could hardly be as good as the Richard Donner movie - Donner's movie had everything - a lightness of touch, a way of communicating a comic book feel on celluloid. A joy. I think it's also a testament to the movie that the Director's cut is pretty awful - the problem with the cut is that it extends a conversation Superman has with his Dad and it sits so badly in the movie. In the original cut we have a movie that is a great movie yet doesn't need to be be deep and meaningful - we can take joy from simplicity and fun and Superman - the original cut has oddles of that.
So when you remake what do you do? There's very few movies that manage to marry action and comedy as well as the original Superman (the only other one I can think of off the top of my head is Richard Lester's Three and Four Musketeers which has the same kind of joy and slapstick that Superman has. So comedy and action are a very difficult needle to thread.
So instead what the present Superman goes for is serious endeavour, weighty themes and angst and a deeper exploration of Lois and Clark/ Superman's relationship. In Richard Donner's movies what was interesting about the relationship with Clark and Lois and Superman and Lois was the sense that while Lois is really into Superman with Clark - not so much. For Clark/ Superman there's a lovely expansion of this when Clark tells Lana Lang that Superman can't turn she replies that she prefers spending time with him (Clark) anyway.
We get none of that in the present movie. I suspect what they were trying to go for was the idea of how would an alien be able to form a relationship with another species and negotiate a relationship. That could have been interesting but instead Superman/Clark in the present movie comes across as an emotioanally inaccessible person with anger management issues.
In another scene while other heroes are dealing with a baddie, Superman carries on talking to Lois - remember in the Donner movies Superman only ignores a cry for help because he has been infected and his evil side comes out. In the present movie he ignores a cry for help because - well I'm not quite sure - is this modern living - you may be a superhero but you have a relationship to deal with don't you know.
The acting isn't bad, you have to give them credit for playing their parts with such a dreary script (I supose as an actor you could hope that after taking the money you could feel more secure and hopefully in the future you won't have to do this kind of dross)
Oh and Nicholas Hoult is in it and it has to be said that any script that manages to make Mr Hoult look ordinary in an actor role should receive some kind of credit. Mr Hoult is one of the most interesting actors working today but it's criminal that such a talented actor has to work with material like this. None the less Mr Hoult and all the cast commit themselves admirably to their work - it's just a real shame that the script didn't justify the time and effort everyone was going to put in making this movie."
"Brian L","Sep 26, 2025","Of all the Superman movies that have been in the past, this new Superman movies really disappoints. Cheezy dialogue, cheezy graphics, some really stupid characters. Then we see all types of alien beings. Superman gets his butt kicked many times, so it didn't make sense as to why he wasn't as strong as we've known him to be. Then they create this universe pocket portal which really threw it into another direction. It was more like Superman meets Spaceballs while in a Dr. Strange multiverse. It got way too crazy and too stupid. Glad I didn't pay to see this in the theater!"
"Monica M","Sep 26, 2025","funnnn it was pretty good"
"Harry C","Sep 26, 2025","Meh. A nothing popcorn flick. Definitely not something worth watching at the cinema but it’s visually pleasing with a run of the mill storyline and decent acting. Nothing to rave about but that’s about as good as we get these days"
"Rick G","Sep 26, 2025","I cried through the entire thing and it made me want to be a better man"
"Ricardo G","Sep 26, 2025","Gives you plenty of hope. Man of steel is back on the big screen."
"Cambra H","Sep 26, 2025","James Gunn trikes again. Edgy music matches great acting and a different spin on Superman. Of course love the dog"
"Chris H","Sep 26, 2025","The character Superman was played perfectly.  The movie's 3rd act was noise and nonsense, which is all too common in modern CGI cartoons.  Overall, it was a fun movie."
"Sean F","Sep 26, 2025","It oscillates from pretty original and genuinely enjoyable to the corniest emotional porn imaginable but overall worth watching."
"Allyson P","Sep 26, 2025","so tired of so much arguing- we already have it in real life...."
"Christopher S","Sep 26, 2025","To say that this was an uninspiring take on an iconic character like Superman, is an understatement! Granted, it doesn't try to retell the origin story of Superman, which was appreciated. However, the plot seemed MISSING! I understand that this Superman was designed to be ""more human"" and less God-like but he spends almost all of the movie getting the brakes beat off of him by any and everybody!  He is unsure of himself, comes across as a pacifist who doesn’t want to hurt a fly, and his emotional arc is sort of laughable. David Corenswet’s casting for Superman was spot on, and I enjoyed the like comedic quirks that he brought to the film. 

However, this film tries to throw some half-baked, spoofed characters (Green Lantern, Hawkgirl, Krypto, and even Supergirl) in that seem to be more powerful than the man of steel. The casting was COMPLETELY off for Lantern with an out of shape softball-dad with a really bad hairpiece! Why did Kent’s parents sound like they were some country bumkins from the bible belt rather than from Kansas? Hoult’s performance as Lex Luther was fantastic, but even he couldn’t save this film. Feels like a rushed job and I wouldn’t waste your time with this one. I feel sorry for those who don’t know the story of Superman because this film leaves you scratching your head and wondering why you would waste 2+hrs. Superman is definitely not the star of his own movie!"
"Steve E.","Sep 26, 2025","Even getting the shite beat out of him, Superman remains the greatest superhero."
"Bruce L","Sep 26, 2025","I guess I had high expectations of this movie, but it certainly wasn't what I expected - and not in a good way...

This movie was complex from the start - metahumans from other ""creations"" on planet earth with Superman not even demonstrating his ""super"" powers throughout most of the movie (getting his butt kicked most of the time) - it was an eclectic mix of a ""wanna-be"" superman with Green Lantern character and other strange metahumans who possessed forces of nanomites in what seemed like a messed up version of Dr. Strange's Multiverse movie. I couldn't make heads of tails of this - then there's the dog which was never in any previous superman movie before...

Then there's this other character who flies around in a virtual computer chair with monitors around him with the Lantern character - what?!....omg...

And the opening of the movie with Lois and Superman arguing in her apartment which was the most irritating to watch - it was worse than a soap opera and Superman engaged in it and even called people ""goons"" which he has never done in any previous movie before (it would be SO out of his character to do this) - WTF is going on?!

I give kudos to the creativity of this film, but I was greatly disappointed as this movie actually disrespected the character of this movie and the story/plot was just all over the place!"
"Hector Q.","Sep 26, 2025","Bad effects, it looks childish, you don’t see a serious movie"
"Bob B","Sep 25, 2025","This film completely missed the mark as a “reboot.” 
The plot was entirely over the top and extremely corny. The acting itself was lackluster and many of the characters lacked in delivery of dialogue. Overall, Superman was terribly cast and has little to no rewatch value. Hopefully DC gets it together and makes better choices for their superheroes moving forward."
"Gabriel KP. B","Sep 25, 2025","Las películas de superhéroes necesitaban algo así desde hace mucho. La vi en julio y escribo esto en septiembre, así que me atrevo a decir que es una pena que todos los medios de comunicación y el entretenimiento actuales trascienden como algodón de azúcar en agua. Personalmente, me encanta esta película. Gracias Gunn."
"Monica L","Sep 25, 2025","People are crazy to hate on this movie! This isn’t a “new take,” it’s actually more based on the comic books than the Henry Cavill and dare I say Christopher Reeves versions. I loved it and hope they do more. I believe each version has its place. After all, whether it’s the DC Universe or that ahem other one, each has multiverses, etc. So if you view the movie from that context instead of comparing apples and oranges you’ll realize how good and well done this one is."
"James H","Sep 25, 2025","Definitely different than I'm use to but a good movie just not crazy about the suit"
"James I","Sep 25, 2025","Let me start with David Corenswet as Superman... FANTASTIC. (I first saw him in Hollywood and commented that he'd make a great Superman) I love that he injects such a down-home sense of humor and humanity into the role. The film does this as well. It reminded me of when I would sit on my bed and read my early Superman comic books as a kid in the '60's. Superman is not just supposed to be heroic... he's also supposed to be FUN!."
"Joe N","Sep 25, 2025","Waste of time. Campy and goofy may be Guardians but not Superman. Not believable at all. Glad I never went to see this in theaters and watched it online without paying those prices. Would have asked for my money back."
"J T","Sep 25, 2025","Honestly this movie was bad. A 90% rating for this movie is insane. Would give it a 56%, max 62%. Man of Steel was a million times better, no comparison whatsoever, and that got a 75%. Seek help if you rated this a 90%."
"M G","Sep 25, 2025","Perhaps the worst movie I've ever seen!"
"JP H","Sep 25, 2025","Sue me, I just didn’t like it. Too much of everything. And it’s the wrong type dog.  It’s trite, oh golly gee, gosh it is . Sup spends way too much of the movie getting beat up or making really Super corny statements about his love of humanity and doing good. 
The cartoons are better."
"Drew H","Sep 25, 2025","I had a hard time remembering much of this movie the day after I watched it. Fun at times but largely forgettable with characters I just can’t seem to care about."
"James J","Sep 25, 2025","Very weak. Not for me."
"Michari N.","Sep 25, 2025","A great start to a cinematic universe brings a fun and emotional ride."
"Theatre Queen D","Sep 25, 2025","This is truly the worst film I have ever paid to see. The performances are dreadful and all the CGI is so jarring it’s hard to watch.  There is no character development and not even any meaningful moral to take home. Awful. Don’t waste your time or your money. I cannot understand the high critic and audience rating - I have to assume it’s as fake as the CGI in the flick."
"Basho M","Sep 25, 2025","The actors can all act. The graphics are fine. The writing is so bad we nearly turned it off twice. This is what movies in 2025 are: completely schizophrenic, full of atrocious on the nose dialogue, weird messed up relationships, dream-like insane reactions and simply mentally messed up attitudes. The music is terrible and it had absolutely no heart."
"Cara D","Sep 25, 2025","Horrível apenas isso. Super herói fraco que não vence nenhum inimigo. Lex Luthor homem mais inteligente do planeta que fica chorando se leva hate na internet."
"Case J","Sep 25, 2025","SPECTACULAR! If you want to be taken away to wonderment, away from today's worry and strife, this is it. Mesmerizing from start to finish - fastest 2 hours ever. The best was how it left me feeling at the end - stronger, uplifted, something forgotten then regained about goodness in the world, a reminder that there really are good things, good people on Earth.  
This whole movie seemed a work of love, actors carefully chosen, detail, direction and writing, cgi, everything FANTASTIC. So many movies today seem catty, bitter, wry, dry, violent, demented or filled with negativity. This movie was different. As if symbolizing a paradigm shift, bringing back some forms of wholesomeness, morality, true justice in a pure and more forthright form. 
Loved the consideration for animals. Krypto was a total delight! 
The fighting was a bit much, but many will probably love the action, the depth of emotions, the dark and the light. 
Not only rented, but then bought it as well. A true re-watch over and over. Haha, also buying the other Superman movies too! Superman 1, II and Returns for SURE. This is one of the best movies EVER."
"Merrill N","Sep 25, 2025","A metahuman that never was. Just an insufferable tragic festival of boredom and failed masculinity. Poor Super Meta Human who is anything but Super."
"Joe c","Sep 25, 2025","1) they are TOTALLY LYING bout the rating of this movie.  Only ""verified audience members"" are counted which is BS.   Go look at ""all reviews"" to see what people really think. 

This Movie was a very ""James Gunn"" Movie.  It wasn't superman it was him trying to make Guardians of the Galaxy using superman and other DC properties.  It butchers the lore of Superman making him self-consciously obsessed with his public image and self righteous.  It makes is cousin Kara-El look like a drunk Gen Z alcoholic and don't get me started on Green Lantern and the ""Justice Gang"" They also exuded immaturity and pettiness... at times it felt like I was watching an episode of ""The Boys"" where it mocked or were parodies of the superheroes we grew up with vs accurate representations of them.  

Pretty much all previous superman renditions were better than this one.  No offense to the actor, but this was just a bad superman movie.  Good as a parody or mockery of the IP but not the noble heroic man of steel."
"Fardin S","Sep 25, 2025","It seems James Gunn knows how to handle lesser known characters. But when it comes to Big, Larger then Life, Iconic character like Superman, he failed."
"Andrew K","Sep 25, 2025","This was not only the best Superman movie, it was one of the best films in the superhero genre.  Not only highly engaging but truly inspiring… as a long time superhero movie fan, can’t recall the last time I felt so compelled… with that being said I don’t understand why Superman was not rated higher than Fantastic 4?"
"Adriana Z","Sep 25, 2025","Literally a very stupid and bad movie. So so so stupid. I hate superhero movies"
"Scott J","Sep 25, 2025","Absolutely horrible. By far the worst portrayed superman ever. Spits in the face of the character and every character they included (green lantern, hawkgirl, ect.). A massive waste of time and an insult to the entire super hero fan base."
"Ham B","Sep 25, 2025","Any review over one star on this complete piece of crap movie is fake. This movie is complete crap it is a reflection of the worst Hollywood has to offer."
"Bman L.","Sep 25, 2025","🍅🍅🍅🍅🍅🍿🍿🍿🍿🍿"
"Emmas M","Sep 25, 2025","It was very fun to watch. I enjoyed all the characters and the dog was a very welcome addition. Well done and I know it must be difficult to create a new Superman movie with familiar people but I just became immersed in the story and found this movie fit the bill for being entertaining and enthralling."
"James G","Sep 25, 2025","This film crashes harder than Superman does in the beginning of the movie"
"Mostafa E.","Sep 25, 2025","Events are unbelievable and don’t draw a clear story"
"Piet P","Sep 25, 2025","A lot of potential but too much going on in one film and there isn't much structure, everything feels wonky...and superman (supposed to potry be stoicism) is extremely emotional. Suit 8.5/10  characters 8/10  story 5/10  superman himself 6/10 writing 4/10"
"Samir K","Sep 24, 2025","Kudos to James Gunn for reviving DC studios with this movie! This movie is not an origin story, but rather an ensemble movie of various DC characters being introduced to the audience as part of the DCU.
The visuals were stunning and each character had adequate screen time. Overall the movie was fast paced with no dull moment. My favorite character from the movie is Krypto!"
"Kyle c","Sep 24, 2025","If I was a 5yr old I might enjoy it. As a 50yr old it was the WORST Superman movie ever. Whole family hated it, best part was the dog."
"john w","Sep 24, 2025","Pretty sure this was a political movie. Also Superman’s a wimp who gets beat up until the end (real original) Their version of lex Luther was really good though"
"IRISH_308 M","Sep 24, 2025","Terrible! Not my Superman!!!! Jimmy should have stayed with Marvel/Guardian’s. He has ruin 1 of 2 super hero's I love from the DC world! He also ruined Henry Cavill’s character on the Witcher! Thanks JIM! Sad try.. and bringing super girl from the “WB” version drunk at the end was even worse. DC you failed again!"
"Annery N","Sep 24, 2025","Super hero movies are so back. Did not know what to expect but I was pleasently surprised."
"OJ S.","Sep 24, 2025","Amazing movie, so fun from start to finish. For all the walnuts claiming that “Superman isn’t strong enough”, did you really want another superhero movie where the hero is basically invincible and nothing is ever at stake? Also, Superman was incredibly strong in this movie. He flew into space while being dragged down by the Engineer and his literal clone. Also, he did that while having his body completely covered by nanobots and his lungs filled with nanobots. He then flies directly into the ground to kill Engineer and get them off of him. If that ain’t extreme strength, idk what is. Also, for anyone complaining about how hard his fights were with Ultraman, consider that Ultraman has identical powers to Superman and he’s controlled by a super-genius who has studied Superman’s every move and devised counter-moves for every situation. Frankly, it’s a miracle Superman was able to get out of that alive. 

Moral of the story, Superman was awesome and it was refreshing to see a superhero movie where the hero isn’t completely invicible and actually faces some adversity. 

Also, extra points for Punkrocker during the credits."
"Korey T","Sep 24, 2025","Wasn't the best but it's hard to follow Henrey! Could only make it about 40 mins in before I lost instrest but good actors."
"Rhys L","Sep 24, 2025","peak hopecore sigma movie"
"Alex D","Sep 24, 2025","Worse super hero move I ever seen."
"Mr. Steven W","Sep 24, 2025","This version of Superman was not what I expected. I do like DC universe. I grew up reading the comic books. But this one had a particular twist that was more humorous than action packed. The Superman that most people grew up with had incredible strength, hence the name Superman. This one seem incredibly weak compared to the Superman throughout other movies. It's geared towards an era where today's culture, social media are relevant to the movie. A lot of the scenes just seemed out of place. And the Green Lantern. Wow! What a disappointment, and Mr. Fantastic. What a horrible representation of these two characters who are really superheroes that had no real power or demonstration of their capabilities. Therefore, I couldn't enjoy the movie. I can only critique it throughout the entire time of me watching the movie and it's just seemed bad. Nicholas who played Lex Luthor excellent job!"
"Jeff B","Sep 24, 2025","This Superman story doesn't hold a candle compared to Superman: The Movie (1978). There is no character building - we are just thrown into these Metahuman's lives with no backstory at all. Somehow Mister Terrific sounds exactly like Robert Downey Jr's character in Tropic Thunder, which is hilarious considering that context. The trailers for this film were excellent, but the movie itself lacks everything needed to be taken seriously."
"Renier C","Sep 24, 2025","I regret buying this movie. It was so bad I could not finish watching it."
"Ima V","Sep 24, 2025","Wow.  After seeing the incredibly high rating, I'm questioning whether I can ever trust RT ratings again.  

I don't believe I've EVER stopped watching a mainstream, major studio, superhero movie but in full agreement with my wife, we stopped this one not 1/2 hour in.  

I made it past the silly setup they had to give to start where they started.  Not a big deal, Star Wars always does this.  I made it past the stupid ""super dog"" and the British robots.  I made it past the 15 second sun recharge and (barely) made it past The Boyz style, supposedly lab created super humans with flying, boomerang style saw blades in their hands and their goofy boss who had limitless tech and wealth but when they released a 2 foot high fire breathing Bowser (like the Super Mario boss) that grew to over 100 feet, I reached my limit.  

This is an insult to the franchise.  Truly pathetic.  How little is left of your taste and expectations if you actually enjoyed this.  Wow."
"D M","Sep 24, 2025","This was really bad.  I liked the actors, but the script was just stupid."
"Leo E","Sep 24, 2025","From the director of Guardians of the Galaxy, comes another great funny super hero movie with an emotional charge and beautiful cgi, James Gunn is setting up the stage for a great DC comeback or so I hope."
"Nikolas v","Sep 24, 2025","Oh my god....  I saw the first Christopher Reeves Superman movies at the cinema. I found the excitement of the introduction with Crypto again. Fan of the comics, fan of the cartoons, fan of hearing the music when Superman goes back into battle... wow, thank you. Super happy. Just one problem... Green Lantern and his team, well, especially him... it's totally out of the atmosphere and the film... we'll just forget that."
"Evan S.","Sep 24, 2025","In my opinion, they depicted Superman as a little weaker than most tv and movies. But A good movie overall. Love the casting for Mr. Terrific."
"Montana G","Sep 24, 2025","This is the worst movie I've seen in a long time. I'd rather stab my eyes than have to sit through this again. I truly don't understand how anyone could possibly recommend it"
"Alex B","Sep 24, 2025","Horrible Movie!!

They have destroyed the Superman franchise"
"Drew M","Sep 24, 2025","Guardians of the Galaxy starring Superman is fun at times. The tonal shift from the previous DC Universe works. Superman 'losing' a fight at the beginning didn't work for me. This is literally the only superhero where him being OP is what defines him."
"SSS Y","Sep 24, 2025","It completely lost me from the very beginning… and even worse the whole lot talking between Louise and Clark dragged so long if I was at the movie theater I would have just walked out. It was unnecessarily long and dull and boring. Please don’t make me hate this franchise."
